Data;Regra;Descricao;Categoria;NOrders;Impacto_Total
01/06/2026;420;Peso minimo J&T origem Cotia;Ganho Imediato;32;112.86
02/06/2026;420;Peso minimo J&T origem Cotia;Ganho Imediato;27;285.0
03/06/2026;420;Peso minimo J&T origem Cotia;Ganho Imediato;26;48.82
04/06/2026;420;Peso minimo J&T origem Cotia;Ganho Imediato;20;88.92
05/06/2026;420;Peso minimo J&T origem Cotia;Ganho Imediato;27;49.88
06/06/2026;420;Peso minimo J&T origem Cotia;Ganho Imediato;23;155.54
30/05/2026;420;Peso minimo J&T origem Cotia;Ganho Imediato;18;86.24
31/05/2026;420;Peso minimo J&T origem Cotia;Ganho Imediato;40;110.2
01/06/2026;421;Peso minimo J&T origem MG;Ganho Imediato;7;240.19
02/06/2026;421;Peso minimo J&T origem MG;Ganho Imediato;13;107.88
03/06/2026;421;Peso minimo J&T origem MG;Ganho Imediato;10;184.13
04/06/2026;421;Peso minimo J&T origem MG;Ganho Imediato;9;95.76
05/06/2026;421;Peso minimo J&T origem MG;Ganho Imediato;6;118.26
06/06/2026;421;Peso minimo J&T origem MG;Ganho Imediato;7;163.07
31/05/2026;421;Peso minimo J&T origem MG;Ganho Imediato;58;1267.74
01/06/2026;422;Peso minimo J&T VGP;Ganho Imediato;12;63.48
02/06/2026;422;Peso minimo J&T VGP;Ganho Imediato;6;15.74
03/06/2026;422;Peso minimo J&T VGP;Ganho Imediato;18;73.02
04/06/2026;422;Peso minimo J&T VGP;Ganho Imediato;5;10.33
05/06/2026;422;Peso minimo J&T VGP;Ganho Imediato;17;84.53
06/06/2026;422;Peso minimo J&T VGP;Ganho Imediato;7;46.15
30/05/2026;422;Peso minimo J&T VGP;Ganho Imediato;11;85.77
31/05/2026;422;Peso minimo J&T VGP;Ganho Imediato;12;38.59
01/06/2026;412;Bloqueio iMile VGP - Inativo;Ganho Imediato - Já realizado;198;904.98
02/06/2026;412;Bloqueio iMile VGP - Inativo;Ganho Imediato - Já realizado;381;1886.76
